Industrial Cluster/Area,Air ,Water,Land,Comprehensive Environmental  Pollution Index
Ankaleshwar (Gujarat),72,72.75,75.75,88.5
Vapi (Gujarat),74,74.5,72,88.09
Bhiwadi (Rajasthan),71,69,59.5,82.91
Angul Talcher (Orissa),64,69,65.75,82.09
Vellore (North Arcot) (Tamil Nadu),69.25,65.25,62.5,81.79
Singrauli (Uttar Pradesh),70.5,64,59.5,81.73
Ludhiana (Punjab),68,66,64.75,81.66
"Nazafgarh drain basin, Delhi",52.13,69,65.25,79.54
NOIDA (Uttar Pradesh,65.75,64,60,78.9
Dhanbad (Jharkhand),64.5,59,65.5,78.63
Dombivalli (Maharashtra),66,63.5,57.5,78.41
Kanpur (Uttar Pradesh),66,63.5,56,78.09
Cuddalore (Tamil Nadu),54,65.25,64,77.45
Aurangabad (Maharashtra),64.75,60.5,59.5,77.44
Faridabad (Haryana),63.5,59,62.75,77.07
Agra (Uttar Pradesh),59,63.75,59.5,76.48
Manali (Tamil Nadu),64,59,58,76.32
Haldia (West Bengal),53.75,64.5,57,75.43
Ahmedabad (Gujarat),62.75,58,58,75.28
Jodhpur (Rajasthan),52,65.5,54,75.19
Howrah (West Bengal),57,54.5,63.5,74.84
Varanasi-Mirzapur (Uttar Pradesh),58,62,53.5,73.79
Mangalore (Karnataka),61.75,57.75,54,73.68
Tarapur (Maharashtra),60.75,56,51.25,72.01
Indore (Madhya Pradesh),59,57.5,52,71.26
Vishakhapatnam (Andhra Pradesh),57,57.5,55,70.82
Junagarh (Gujarat),53.25,52.5,59.5,70.82
